,Film Name,Director,Cast,Country,Gross_income,Horror_Category
0,The Abandoned,Eytan Rockaway,"Jason Patric, Louisa Krause, Mark Margolis",United States,850000.0,supernatural horror film
1,Alena,Daniel di Grado,"Amalia Holm Bjelket, Felice Jankell, Rebecka Nyman",Sweden,,horror film
2,The Atticus Institute,Chris Sparling,"Rya Kihlstedt, William Mapother, Harry Groener",United States,,independent pseudo-documentary
3,Be My Cat: A Film for Anne,Adrian Țofei,"Adrian Țofei, Sonia Teodoriu, Florentina Hariton, Alexandra Stroe",Romania,,found footage psychological horror
4,Bound to Vengeance,José Manuel Cravioto,"Tina Ivlev, Bianca Malinowski, Richard Tyson",United States,,horror-thriller film
5,The Bride,Lingo Hsieh,"Wu Kang-ren, Nikki Hsieh, Vera Yen, Chie Tanaka",Taiwan,,ghost marriage
6,"Bullets, Fangs and Dinner at 8",Matthew Rocca,"Garrett Schweighauser, Eva Rocca, Matthew Rocca, Brian Butler",United States,5500000.0,horror-thriller film
7,Corpse Party,Masafumi Yamada,"Rina Ikoma, Ryōsuke Ikeoka, Nozomi Maeda",Japan,,horror-thriller film
8,Crimson Peak,Guillermo del Toro,"Mia Wasikowska, Jessica Chastain, Tom Hiddleston",United States,,gothic romance film
9,Dead Rising: Watchtower,"Tim Carter, Zack Lipovsky","Jesse Metcalfe, Meghan Ory, Virginia Madsen",United States,,action zombie film
10,Deathgasm,Jason Lei Howden,"Milo Cawthorne, James Blake, Kimberley Crossman",New Zealand,3000000.0,comedy horror
11,Demonic,Will Canon,"Maria Bello, Frank Grillo, Cody Horn",United States,8000000.0,supernatural horror film
12,Extinction,Miguel Ángel Vivas,"Matthew Fox, Jeffrey Donovan, Quinn McColgan",HungarySpain,4500000.0,post-apocalyptic horror film
13,The Final Girls,Todd Strauss-Schulson,"Nina Dobrev, Malin Akerman, Taissa Farmiga",United States,100000.0,comedy meta-slasher film
14,The Gallows,Chris Loffing,"Reese Mishler, Pfeifer Brown, Ryan Shoos",United States,57200000.0,found footage supernatural horror film
15,Ghost Theater,Hideo Nakata,"Haruka Shimazaki, Mantaro Koichi, Rika Adachi, Riho Takada, Keita Machida",Japan,5000000.0,horror film
16,The Gift,Joel Edgerton,"Jason Bateman, Rebecca Hall, Joel Edgerton",United StatesAustralia,84000000.0,psychological thriller
17,Goosebumps,Rob Letterman,"Jack Black, Dylan Minnette, Odeya Rush, Amy Ryan, Ryan Lee, Jillian Bell",United States,,horror comedy film
18,He Never Died,Jason Krawczyk,"Henry Rollins, Booboo Stewart, Steven Ogg",CanadaUnited States,,horror comedy film
19,Hellions,Bruce McDonald,"Chloe Rose, Rossif Sutherland, Rachel Wilson",Canada,11000000.0,horror film
20,Insidious: Chapter 3,Leigh Whannell,"Stefanie Scott, Dermot Mulroney",United States,1000000.0,supernatural horror film
21,The Invitation,Karyn Kusama,"Logan Marshall-Green, Tammy Blanchard, Michiel Huisman",United States,,horror film
22,Ju-on: The Final,Masayuki Ochiai,Airi Taira,Japan,15000000.0,supernatural horror film
23,Krampus,Michael Dougherty,"Adam Scott, Toni Collette, David Koechner","United States
",,Christmas horror comedy film
24,Lavalantula,Mike Mendez,"Steve Guttenberg, Nia Peeples, Patrick Renna","United States
",,science fiction comedy horror thriller television film
25,Krampus: The Reckoning,Robert Conway,"James Ray, Monica Engesser, Amelia Haberman","United States
",3300000.0,horror film
26,The Lazarus Effect,David Gelb,"Olivia Wilde, Mark Duplass, Donald Glover",United States,1400000.0,supernatural horror film
27,Maggie,Henry Hobson,"Arnold Schwarzenegger, Abigail Breslin, Joely Richardson",United States,20000000.0,post-apocalyptic horror drama film
28,Maya,Jawad Bashir,"Ahmed Abdul Rehman, Hina Jawad, Zain Afzal,",Pakistan,870000.0,horror film
29,Monsters,Guo Hua,"Liu Qing, Zhou Haodong, Wu Yanyan",China,10000000.0,suspense horror thriller film
30,Paranormal Activity: The Ghost Dimension,Gregory Plotkin,"Olivia Taylor Dudley, Don McManus, Chloe Csengery",United States,3500000.0,3D found footage supernatural horror film
31,Poltergeist,Gil Kenan,"Sam Rockwell, Rosemarie DeWitt",United States,,supernatural horror film
32,Rorschach,C.A. Smith,"Ashlynn Allen, Ricky Lee Barnes, Ross Compton",United States,15000000.0,horror film
33,Scouts Guide to the Zombie Apocalypse,Christopher B. Landon,"Tye Sheridan, Logan Miller, Joey Morgan","United States
",2400000.0,zombie comedy film
34,Sharknado 3: Oh Hell No!,Anthony Ferrante,"Ian Ziering, Tara Reid, Cassie Scerbo",United States,10000000.0,action comedy horror film
35,Sinister 2,Foy Ciaran,"James Ransone, Shannyn Sossamon",United States,,supernatural horror film
36,Stung,Benjamin Diez,"Matt O'Leary, Jessica Cook, Clifton Collins Jr.",GermanyUnited States,1800000.0,science fiction horror-comedy film
37,The Tag-Along,Cheng Wei-hao,"Hsu Wei-ning, River Huang, Liu Yin-shang",Taiwan,,horror film
38,Tales of Halloween,"Neil Marshall, Darren Lynn Bousman, Axelle Carolyn","Grace Phipps, Booboo Stewart, Adrienne Barbeau",United States,2627343.0,comedy horror anthology film
39,Tremors 5: Bloodlines,Don Michael Paul,"Michael Gross, Jamie Kennedy, Pearl Thusi",United StatesSouth Africa,5000000.0,direct-to-video monster film
40,The Visit,M. Night Shyamalan,"Kathryn Hahn, Deanna Dunagan, Peter McRobbie",United States,,found-footage comedy horror
41,Volumes of Blood,[various directors],,United States,,horror anthology film
42,We Are Still Here,Ted Geoghegan,"Barbara Crampton, Andrew Sensenig, Lisa Marie",United States,,horror film
43,The Witch,Robert Eggers,"Ralph Ineson, Kate Dickie, Harvey Scrimshaw",United StatesCanada,4000000.0,period supernatural horror film
44,The Woman in Black 2: Angel of Death,Tom Harper,"Phoebe Fox, Helen McCrory, Jeremy Irvine",CanadaUnited Kingdom,15000000.0,supernatural horror film
45,Z Island,Hiroshi Shinagawa,"Show Aikawa, Sawa Suzuki, Yūichi Kimura",Japan,23000000.0,action comedy horror zombie film
46,Antibirth,Danny Perez,"Natasha Lyonne, Chloë Sevigny, Meg Tilly",United StatesCanada,,psychedelic body horror film
47,The Autopsy of Jane Doe,André Øvredal,"Brian Cox, Emile Hirsch, Ophelia Lovibond",United States,6000000.0,supernatural horror film
48,Bedeviled,The Vang Brothers,"Saxon Sharbino, Mitchell Edwards, Carson Boatman",United States,,supernatural horror film
49,The Belko Experiment,Greg McLean,"John Gallagher Jr., Tony Goldwyn, David Del Rio",United States,5000000.0,Horror thriller film
50,Blair Witch,Adam Wingard,"James Allen McCune, Callie Hernandez, Valorie Curry",United States,5000000.0,supernatural horror film
51,Blood of the Tribades,"Sophia Cacciola, Michael J. Epstein","Chloé Cunha, Mary Widow, Seth Chatfield",United States,,horror film
52,The Boy,William Brent Bell,"Lauren Cohan, Rupert Evans, Jim Norton",United States,10000000.0,horror film
53,The Blackout Experiments,Rich Fox,"Josh Randall, Kristjan Thor, Bob Glouberman",United States,,immersive horror film
54,Cabin Fever,Travis Zariwny,"Gage Golightly, Matthew Daddario, Nadine Crocker",United States,39065.0,horror film
55,Cell,Tod Williams,"John Cusack, Samuel L. Jackson, Isabelle Fuhrman",United States,1000000.0,science fiction horror film
56,The Conjuring 2,James Wan,"Vera Farmiga, Patrick Wilson, Frances O'Connor",United States,40000000.0,supernatural horror film
57,The Darkness,Greg McLean,"Kevin Bacon, Radha Mitchell, Tina Lifford",United States,4000000.0,supernatural horror film
58,Dead 7,Danny Roew,A. J. McLean,United States,,zombie horror film
59,The Devil's Dolls,Padraig Reynolds,"Christopher Wiehl, Kym Jackson",United States,,American horror film
60,Don't Breathe,Fede Álvarez,"Jane Levy, Dylan Minnette, Stephen Lang",United States,9900000.0,horror-thriller film
61,Don't Kill It,Mike Mendez,"Dolph Lundgren, Kristina Klebe, Tony Bentley",United States,1000000.0,comedy horror film
62,The Eyes of My Mother,Nicolas Pesce,"Diana Agostini, Olivia Bond, Will Brill",United States,300000.0,black-and-white horror film
63,The Faith of Anna Waters,Kelvin Tong,"Elizabeth Rice, Matthew Settle",SingaporeUnited States,,horror film
64,Fender Bender,Mark Pavia,"Makenzie Vega, Cassidy Freeman, Bill Sage, Steven Michael Quezada",United States,,slasher film
65,The Forest,Jason Zada,"Natalie Dormer, Taylor Kinney",United States,10000000.0,supernatural horror film
66,Holidays,Various,,United States,,American horror film
67,Home,Frank Lin,"Heather Langenkamp, Samantha Mumba, Aaron Hill",United States,,horror drama film
68,Hush,Mike Flanagan,"John Gallagher, Jr., Michael Trucco, Kate Siegel",United States,1000000.0,slasher film
69,I Am the Pretty Thing That Lives in the House,Osgood Perkins,"Ruth Wilson, Bob Balaban, Lucy Boynton",United StatesCanada,,gothic supernatural horror film
70,Krampus Unleashed,Robert Conway,"Amelia Brantley, Bryson Holl, Caroline Lassetter",United States,4900000.0,horror film
71,Lights Out,David F. Sandberg,"Teresa Palmer, Gabriel Bateman, Maria Bello",United States,2350000.0,supernatural horror film
72,The Limehouse Golem,Juan Carlos Medina,"Olivia Cooke, Bill Nighy, Douglas Booth",United Kingdom,246218.0,British horror-mystery film
73,The Love Witch,Anna Biller,"Samantha Robinson, Jeffrey Vincent Parise, Gian Keys, Laura Waddell",United States,397072.0,horror comedy film
74,Martyrs,"Kevin Goetz, Michael Goetz","Troian Bellisario, Bailey Noble, Kate Burton",United States,8000000.0,horror film
75,Morgan,Luke Scott,"Kate Mara, Anya Taylor-Joy, Toby Jones",United States,7000000.0,science fiction thriller film
76,The Neon Demon,Nicolas Winding Refn,"Elle Fanning, Jena Malone, Abbey Lee",DenmarkFranceUnited States,5000000.0,psychological horror film
77,The Other Side of the Door,Johannes Roberts,"Sarah Wayne Callies, Jeremy Sisto",IndiaUnited Kingdom,12000000.0,supernatural horror film
78,Ouija: Origin of Evil,Mike Flanagan,"Annalise Basso, Elizabeth Reaser, Lulu Wilson",United States,,supernatural horror film
79,Phantasm: Ravager,David Hartman,"Reggie Bannister, Dawn Cody, Angus Scrimm",United States,,science fantasy action horror film
80,Pool Party Massacre,Drew Marvick,"LeeAnna Vamp, Mark Justice, Alexis Adams",United States,28000000.0,comedy horror film
81,Pride and Prejudice and Zombies,Burr Steers,"Lily James, Sam Riley, Jack Huston",United States,1000000.0,action comedy horror film
82,The Purge: Election Year,James DeMonaco,"Frank Grillo, Elizabeth Mitchell",United States,3480000.0,dystopian political action horror film
83,Raw,Julia Ducournau,"Garance Marillier, Ella Rumpf, Rabah Naït Oufella",FranceBelgium,8385267.0,horror drama film
84,Sadako vs. Kayako,Koji Shiraishi,"Mizuki Yamamoto, Tina Tamashiro",Japan,9000000.0,supernatural horror film
85,Split,M. Night Shyamalan,"James McAvoy, Anya Taylor-Joy, Bruce Willis",United States,,psychological thriller film
86,"Sweet, Sweet Lonely Girl",A.D. Calvo,"Erin Wilhelmi, Quinn Shephard, Susan Kellermann",United States,8500000.0,horror film
87,Train to Busan,Yeon Sang-ho,"Gong Yoo, Ma Dong-seok, Ahn So-hee",South Korea,126642.0,action horror film
88,Under the Shadow,Babak Anvari,"Narges Rashidi, Avin Manshadi, Bobby Naderi",IranJordanQatarUnited Kingdom,4000000.0,psychological horror film
89,The Veil,Phil Joanou,"Jessica Alba, Thomas Jane, Lily Rabe",United States,149365.0,supernatural horror film
90,The Void,"Steven Kostanski, Jeremy Gillespie","Ellen Wong, Aaron Poole, Evan Stern",Canada,,Lovecraftian horror film
91,Volumes of Blood: Horror Stories,[various directors],,United States,8000000.0,horror anthology film
92,The Wailing,Na Hong-jin,"Kwak Do-won, Hwang Jung-min, Chun Woo-hee",South Korea,,horror film
93,What We Become,Bo Mikkelson,"Troels Lyby, Mille Dinesen, Mikael Birkkjær",Denmark,,horror and zombie film
94,We Are the Flesh,Emiliano Rocha Minter,"Noé Hernández, María Evoli, Diego Gamaliel",MexicoFrance,,horror film
95,Without Name,Lorcan Finnegan,"Alan McKenna, Niamh Algar, James Browne",Ireland,,eco-horror film
